tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_common,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borough,cncldist,st_assem,st_senate,nta,nta_name,latitude,longitude
344846,226025,2015-10-18,12,0,OnCurb,alive,fair,green ash,No,No,No,No,No,Yes,No,No,No,1040 ST JOHNS PLACE,11213,Brooklyn,308,brooklyn,35,43,20,BK61,Crown Heights North,40.67117797,-73.9434248
467401,207921,2015-11-18,2,0,OnCurb,alive,good,white oak,No,No,No,No,No,No,No,No,No,2964 BRIGHTON 12 STREET,11235,Brooklyn,313,brooklyn,48,45,23,BK19,Brighton Beach,40.58068318,-73.9560088
552253,311790,2016-03-29,4,0,OnCurb,alive,fair,pin oak,No,No,No,No,No,No,No,No,No,133-017 SANFORD AVENUE,11355,Flushing,407,queens,20,40,16,QN22,Flushing,40.7560644,-73.83020193
700243,316811,2016-09-07,22,0,OnCurb,alive,good,london planetree,No,No,No,No,No,No,No,No,No,158-004 86 STREET,11414,Howard Beach,410,queens,32,23,15,QN57,Lindenwood-Howard Beach,40.65962744,-73.84679948
136508,110570,2015-08-11,4,0,OnCurb,alive,good,sophora,No,No,No,No,No,No,No,No,No,524 EAST 119 STREET,10035,New York,111,manhattan,8,68,29,MN34,East Harlem North,40.79620171,-73.93003548
703934,317295,2016-09-08,19,0,OnCurb,alive,good,london planetree,No,No,No,No,No,No,No,No,No,151-001 84 STREET,11414,Howard Beach,410,queens,32,23,15,QN57,Lindenwood-Howard Beach,40.66720691,-73.85046149
569417,231345,2016-05-30,17,0,OnCurb,alive,good,callery pear,No,No,No,No,No,No,No,No,No,3703 FOSTER AVENUE,11203,Brooklyn,317,brooklyn,45,58,21,BK91,East Flatbush-Farragut,40.63909785,-73.94132642
138293,337145,2015-08-12,25,0,OnCurb,alive,good,mulberry,No,No,No,No,No,No,No,No,No,135-047 225 STREET,11413,Springfield Gardens,413,queens,31,29,14,QN66,Laurelton,40.67483257,-73.7465402
474034,504235,2015-11-19,13,0,OnCurb,alive,good,honeylocust,Yes,No,No,Yes,No,No,No,No,No,2065 GRAND CONCOURSE,10453,Bronx,205,bronx,14,86,33,BX41,Mount Hope,40.8530993,-73.90336395
210093,215946,2015-09-08,11,0,OnCurb,alive,fair,american linden,Yes,No,No,No,No,No,No,No,No,59 NEWEL STREET,11222,Brooklyn,301,brooklyn,33,50,26,BK76,Greenpoint,40.7245784,-73.9473112
270928,208475,2015-09-29,15,0,OnCurb,alive,good,norway maple,Yes,No,No,No,No,No,No,No,No,2701 VOORHIES AVENUE,11235,Brooklyn,315,brooklyn,48,41,22,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.58705847,-73.94214934
148249,201789,2015-08-15,7,0,OnCurb,alive,fair,japanese zelkova,Yes,No,No,Yes,No,No,No,No,Yes,200 LIBERTY AVENUE,11207,Brooklyn,305,brooklyn,37,55,19,BK85,East New York (Pennsylvania Ave),40.67358338,-73.90235873
